file	obj	tbest	guards
runs/large-A-0W-1G-4P-0/woagp-fat-100.out	7	0.0722631	0
runs/large-A-0W-1G-4P-0/woagp-fat-102.out	7	0.0773382	0
runs/large-A-0W-1G-4P-0/woagp-fat-104.out	7	0.0747406	0
runs/large-A-0W-1G-4P-0/woagp-fat-106.out	7	0.175733	0
runs/large-A-0W-1G-4P-0/woagp-fat-108.out	7	0.174673	0
runs/large-A-0W-1G-4P-0/woagp-fat-10.out	1	0	0
runs/large-A-0W-1G-4P-0/woagp-fat-110.out	7	0.187375	0
runs/large-A-0W-1G-4P-0/woagp-fat-112.out	7	0.212107	0
runs/large-A-0W-1G-4P-0/woagp-fat-114.out	7	0.193429	0
runs/large-A-0W-1G-4P-0/woagp-fat-116.out	7	0.235334	0
runs/large-A-0W-1G-4P-0/woagp-fat-118.out	7	0.249984	0
runs/large-A-0W-1G-4P-0/woagp-fat-120.out	7	0.0952922	0
runs/large-A-0W-1G-4P-0/woagp-fat-122.out	7	0.142417	0
runs/large-A-0W-1G-4P-0/woagp-fat-124.out	7	0.285776	0
runs/large-A-0W-1G-4P-0/woagp-fat-126.out	7	0.314262	0
runs/large-A-0W-1G-4P-0/woagp-fat-128.out	7	0.319383	0
runs/large-A-0W-1G-4P-0/woagp-fat-12.out	2	0	0
runs/large-A-0W-1G-4P-0/woagp-fat-130.out	7	0.159838	0
runs/large-A-0W-1G-4P-0/woagp-fat-132.out	7	0.346356	0
runs/large-A-0W-1G-4P-0/woagp-fat-134.out	7	0.346644	0
runs/large-A-0W-1G-4P-0/woagp-fat-136.out	7	0.398995	0
runs/large-A-0W-1G-4P-0/woagp-fat-138.out	7	0.417672	0
runs/large-A-0W-1G-4P-0/woagp-fat-140.out	7	0.426617	0
runs/large-A-0W-1G-4P-0/woagp-fat-142.out	7	0.421857	0
runs/large-A-0W-1G-4P-0/woagp-fat-144.out	7	0.494083	0
runs/large-A-0W-1G-4P-0/woagp-fat-146.out	7	0.497357	0
runs/large-A-0W-1G-4P-0/woagp-fat-148.out	7	0.534304	0
runs/large-A-0W-1G-4P-0/woagp-fat-14.out	2	0	0
runs/large-A-0W-1G-4P-0/woagp-fat-150.out	7	0.542657	0
runs/large-A-0W-1G-4P-0/woagp-fat-152.out	7	0.579338	0
runs/large-A-0W-1G-4P-0/woagp-fat-154.out	7	0.216869	0
runs/large-A-0W-1G-4P-0/woagp-fat-156.out	7	0.638054	0
runs/large-A-0W-1G-4P-0/woagp-fat-158.out	7	0.665851	0
runs/large-A-0W-1G-4P-0/woagp-fat-160.out	7	0.485912	0
runs/large-A-0W-1G-4P-0/woagp-fat-162.out	7	0.391652	0
runs/large-A-0W-1G-4P-0/woagp-fat-164.out	7	0.756499	0
runs/large-A-0W-1G-4P-0/woagp-fat-166.out	7	0.763867	0
runs/large-A-0W-1G-4P-0/woagp-fat-168.out	7	0.812252	0
runs/large-A-0W-1G-4P-0/woagp-fat-16.out	2	0	0
runs/large-A-0W-1G-4P-0/woagp-fat-170.out	7	0.884398	0
runs/large-A-0W-1G-4P-0/woagp-fat-172.out	7	0.89452	0
runs/large-A-0W-1G-4P-0/woagp-fat-174.out	7	0.946841	0
runs/large-A-0W-1G-4P-0/woagp-fat-176.out	7	0.953793	0
runs/large-A-0W-1G-4P-0/woagp-fat-178.out	7	1.04785	0
runs/large-A-0W-1G-4P-0/woagp-fat-180.out	7	1.0689	0
runs/large-A-0W-1G-4P-0/woagp-fat-182.out	7	1.10042	0
runs/large-A-0W-1G-4P-0/woagp-fat-184.out	7	1.11882	0
runs/large-A-0W-1G-4P-0/woagp-fat-186.out	7	1.17463	0
runs/large-A-0W-1G-4P-0/woagp-fat-188.out	7	0.468186	0
runs/large-A-0W-1G-4P-0/woagp-fat-18.out	2	0.000150634	0
runs/large-A-0W-1G-4P-0/woagp-fat-190.out	7	1.18895	0
runs/large-A-0W-1G-4P-0/woagp-fat-192.out	7	1.30284	0
runs/large-A-0W-1G-4P-0/woagp-fat-194.out	7	1.32961	0
runs/large-A-0W-1G-4P-0/woagp-fat-196.out	7	1.36214	0
runs/large-A-0W-1G-4P-0/woagp-fat-198.out	7	1.43047	0
runs/large-A-0W-1G-4P-0/woagp-fat-200.out	32.5	1.64276	0
runs/large-A-0W-1G-4P-0/woagp-fat-20.out	5	0.000307855	0
runs/large-A-0W-1G-4P-0/woagp-fat-22.out	3	0.000291562	0
runs/large-A-0W-1G-4P-0/woagp-fat-24.out	4	0.000441417	0
runs/large-A-0W-1G-4P-0/woagp-fat-26.out	3	0.000400703	0
runs/large-A-0W-1G-4P-0/woagp-fat-28.out	4	0.000605103	0
runs/large-A-0W-1G-4P-0/woagp-fat-30.out	4	0.000678445	0
runs/large-A-0W-1G-4P-0/woagp-fat-32.out	5	0.00172967	0
runs/large-A-0W-1G-4P-0/woagp-fat-34.out	9	0.00321941	0
runs/large-A-0W-1G-4P-0/woagp-fat-36.out	10	0.00345001	0
runs/large-A-0W-1G-4P-0/woagp-fat-38.out	7	0.00233765	0
runs/large-A-0W-1G-4P-0/woagp-fat-40.out	7	0.00306131	0
runs/large-A-0W-1G-4P-0/woagp-fat-42.out	7	0.00368665	0
runs/large-A-0W-1G-4P-0/woagp-fat-44.out	7	0.00611564	0
runs/large-A-0W-1G-4P-0/woagp-fat-46.out	7	0.00520268	0
runs/large-A-0W-1G-4P-0/woagp-fat-48.out	7	0.00618078	0
runs/large-A-0W-1G-4P-0/woagp-fat-50.out	7	0.0051852	0
runs/large-A-0W-1G-4P-0/woagp-fat-52.out	7	0.00830347	0
runs/large-A-0W-1G-4P-0/woagp-fat-54.out	7	0.00985397	0
runs/large-A-0W-1G-4P-0/woagp-fat-56.out	7	0.0154915	0
runs/large-A-0W-1G-4P-0/woagp-fat-58.out	7	0.019248	0
runs/large-A-0W-1G-4P-0/woagp-fat-60.out	7	0.0187173	0
runs/large-A-0W-1G-4P-0/woagp-fat-62.out	7	0.017761	0
runs/large-A-0W-1G-4P-0/woagp-fat-64.out	7	0.02528	0
runs/large-A-0W-1G-4P-0/woagp-fat-66.out	7	0.0340196	0
runs/large-A-0W-1G-4P-0/woagp-fat-68.out	7	0.0215146	0
runs/large-A-0W-1G-4P-0/woagp-fat-70.out	7	0.0329686	0
runs/large-A-0W-1G-4P-0/woagp-fat-72.out	7	0.044443	0
runs/large-A-0W-1G-4P-0/woagp-fat-74.out	7	0.0431408	0
runs/large-A-0W-1G-4P-0/woagp-fat-76.out	7	0.0581672	0
runs/large-A-0W-1G-4P-0/woagp-fat-78.out	7	0.0641093	0
runs/large-A-0W-1G-4P-0/woagp-fat-80.out	7	0.0682575	0
runs/large-A-0W-1G-4P-0/woagp-fat-82.out	7	0.0520795	0
runs/large-A-0W-1G-4P-0/woagp-fat-84.out	7	0.0304497	0
runs/large-A-0W-1G-4P-0/woagp-fat-86.out	7	0.0754801	0
runs/large-A-0W-1G-4P-0/woagp-fat-88.out	7	0.0828799	0
runs/large-A-0W-1G-4P-0/woagp-fat-8.out	1	0	0
runs/large-A-0W-1G-4P-0/woagp-fat-90.out	7	0.101784	0
runs/large-A-0W-1G-4P-0/woagp-fat-92.out	7	0.10348	0
runs/large-A-0W-1G-4P-0/woagp-fat-94.out	7	0.119452	0
runs/large-A-0W-1G-4P-0/woagp-fat-96.out	7	0.126436	0
runs/large-A-0W-1G-4P-0/woagp-fat-98.out	7	0.128356	0
